epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.524,1.33792,2.83545,1.70583,0.62558,0.72963,0.71971,0.49361,1.16065,1.90294,1.78638,0.00018139,0.00018139,0.00018139
2,49.5964,1.26001,1.67343,1.51245,0.67563,0.41158,0.43064,0.26521,1.61649,2.73037,2.33895,0.000360672,0.000360672,0.000360672
3,73.0811,1.27198,1.59233,1.5021,0.44888,0.47556,0.52691,0.29326,1.69666,3.44327,2.49451,0.000533839,0.000533839,0.000533839
4,96.9415,1.2962,1.51379,1.51733,0.78945,0.64027,0.74865,0.49669,1.16755,2.31627,1.84835,0.000528478,0.000528478,0.000528478
5,127.298,1.26443,1.35045,1.49203,0.65982,0.723,0.80751,0.56234,1.08326,1.27319,1.71708,0.000519304,0.000519304,0.000519304
6,152.072,1.20957,1.32273,1.47408,0.56723,0.58497,0.64067,0.30148,2.13354,1.51347,3.09142,0.00051013,0.00051013,0.00051013
7,175.895,1.184,1.2221,1.43158,0.81982,0.88052,0.90531,0.62254,1.08984,1.18111,1.62298,0.000500956,0.000500956,0.000500956
8,200.58,1.18786,1.22691,1.44069,0.72239,0.91171,0.94801,0.67403,1.04013,0.96836,1.59499,0.000491782,0.000491782,0.000491782
9,225.193,1.17023,1.18902,1.42388,0.9045,1,0.995,0.77965,0.93972,0.51771,1.5119,0.000482608,0.000482608,0.000482608
10,249.631,1.14099,1.17114,1.39754,0.80886,0.97607,0.95868,0.71732,0.98271,0.62924,1.53422,0.000473434,0.000473434,0.000473434
11,273.823,1.12474,1.10686,1.39726,0.9366,0.93771,0.99421,0.7704,0.9601,0.5338,1.51728,0.00046426,0.00046426,0.00046426
12,298.188,1.13868,1.05182,1.40139,0.81976,0.89156,0.96271,0.69569,1.0613,0.96442,1.56747,0.000455086,0.000455086,0.000455086
13,322.668,1.12695,1.07945,1.39651,0.91358,0.9428,0.995,0.76874,0.92691,0.53665,1.46106,0.000445912,0.000445912,0.000445912
14,346.762,1.11694,1.03534,1.37933,0.88816,0.83775,0.93691,0.71468,0.9892,0.86061,1.51908,0.000436738,0.000436738,0.000436738
15,370.929,1.06045,0.94628,1.33749,0.86882,0.93873,0.96835,0.74374,0.94126,0.58111,1.49619,0.000427564,0.000427564,0.000427564
16,395.101,1.05693,0.91757,1.34295,0.96746,0.98428,0.995,0.78411,0.93621,0.43783,1.45668,0.00041839,0.00041839,0.00041839
17,419.416,1.08709,0.92439,1.36204,0.93994,0.97853,0.995,0.75894,0.95574,0.46286,1.48044,0.000409216,0.000409216,0.000409216
18,443.53,1.05554,0.92232,1.34389,0.8577,0.94176,0.995,0.79342,0.88966,0.57025,1.3993,0.000400042,0.000400042,0.000400042
19,467.761,1.05773,0.90411,1.33882,0.91372,1,0.995,0.75313,0.95076,0.3938,1.49244,0.000390868,0.000390868,0.000390868
20,491.895,1.04026,0.85906,1.33445,0.96666,0.92478,0.995,0.77765,0.93352,0.39913,1.46731,0.000381694,0.000381694,0.000381694
21,516.016,1.07686,0.91361,1.34972,0.92759,0.98693,0.995,0.77417,0.93971,0.42037,1.45214,0.00037252,0.00037252,0.00037252
22,540.383,1.00486,0.80985,1.30408,0.93266,0.96871,0.995,0.79239,0.87185,0.43275,1.41021,0.000363346,0.000363346,0.000363346
23,564.641,1.01139,0.82346,1.31124,0.97676,0.98341,0.995,0.79094,0.8707,0.3544,1.40408,0.000354172,0.000354172,0.000354172
24,589.277,0.99192,0.81866,1.30208,0.97833,1,0.995,0.79237,0.87189,0.35195,1.39555,0.000344998,0.000344998,0.000344998
